cement_category,feed_bin,median,q25,q75,count
0,100-102,51.08669281,49.0476179125,53.43101501,374
0,102-104,51.648355484999996,49.19414043250001,53.82173538,390
0,104-106,52.11233521,49.96337128,55.04273605,657
0,106-108,52.38095665,49.96337128,54.55433655,516
0,108-110,52.35653687,50.317461970000004,54.6398057975,938
0,110-112,52.64957428,50.329671860000005,54.871797565,847
0,112-114,52.69841385,49.86568832,55.33577728,879
0,114-116,52.40537643,50.01221466,55.23809814,1395
0,116-118,52.7960968,49.81684875,55.702077865,999
0,118-120,53.43101501,49.91453171,56.16605759,1185
0,120-122,53.67521667,50.1098938,56.75214005,965
0,122-124,53.43101501,49.23077011,56.89865875,681
0,124-126,54.60317612,50.4395647075,57.87546158,688
0,126-128,54.822957994999996,49.81684875,58.75458145,456
0,128-130,54.65201569,49.645910265,58.75458145,419
0,130-132,54.40781784,49.96337128,57.43589973500001,327
0,132-134,53.211236955000004,48.51037884,58.840050697500004,270
0,134-136,54.21245575,48.79121017,57.38705826,217
0,136-138,50.74481201,48.424909595,55.653238295,115
0,138-140,49.08424759,47.91208649,51.2820549,61
1,100-102,57.997560505,52.576314925,65.970695495,194
1,102-104,56.60561752,51.794874195,63.833946229999995,219
1,104-106,58.559221265000005,53.931628222499995,64.4566555025,358
1,106-108,58.75458145,53.3577556625,64.896217345,310
1,108-110,57.72893906,53.015874865,63.711847305,483
1,110-112,58.90110016,53.1379776,65.44567108,457
1,112-114,59.78022385,54.21245575,66.03174591,333
1,114-116,60.21978378,54.822957994999996,66.17826843,399
1,116-118,63.58974457,57.899881365,68.644693375,342
1,118-120,60.390722275,55.6166086175,66.043956755,260
1,120-122,61.73382568,56.11721802,68.71794891,225
1,122-124,65.49450684,57.6434698125,71.575090405,146
1,124-126,65.3968277,59.09646225,72.96703339,93
1,126-128,63.83394623,59.68254089,70.08547211,65
1,128-130,60.46398163,56.99633789,64.51770782,25
1,130-132,63.10134506,57.9975605,69.597068785,27
1,132-134,63.052505495,58.0586109125,68.2661819475,12
1,134-136,62.661783220000004,57.3870601625,67.52136992999999,8
1,136-138,67.057388305,61.953603745,74.45665740999999,16
1,138-140,55.67765808,54.0903558725,58.9621515275,8
