cement_category,feed_bin,median,q25,q75,count
0,100-102,74.07,70,80.47,374
0,102-104,76.76,70,83.27,390
0,104-106,75.29,70,82.32,657
0,106-108,73.83,70,82.32,516
0,108-110,74.07,70,82.32,938
0,110-112,74.36,70,84,847
0,112-114,72.75,70,84,879
0,114-116,74.65,70,84,1395
0,116-118,75.12,70,84,999
0,118-120,75.14,70,84,1185
0,120-122,75.68,70,84,965
0,122-124,75.02,70,84,681
0,124-126,75.9,70,84,688
0,126-128,76.43,70.11,84,456
0,128-130,76.65,68.13,84,419
0,130-132,78.12,72.44,85,327
0,132-134,77.92,72.1,85,270
0,134-136,70.6,72.1,80.63,217
0,136-138,74.95,72.1,78.05,115
0,138-140,73.16,72.1,78.32,61
1,100-102,68.38,70,78.53,194
1,102-104,67.11,70,76.23,219
1,104-106,67.97,70,76.75,358
1,106-108,70.67,70,77.14,310
1,108-110,71.82,70,80.15,483
1,110-112,73.11,70,83,457
1,112-114,70.53,70,83,333
1,114-116,71.23,70,83.8,399
1,116-118,72.88,70,83.6,342
1,118-120,69.43,70,83.63,260
1,120-122,71.45,70,83,225
1,122-124,70.43,70,83,146
1,124-126,67.79,70,83,93
1,126-128,68.4,70,83,65
1,128-130,64.74,70,68.94,25
1,130-132,65.23,70,68.75,27
1,132-134,62.3,70,65.67,12
1,134-136,68.06,70,71.43,8
1,136-138,71.36,70,73.38,16
1,138-140,68.71,70,70.34,8
