timestamp,cement_category,product_name,current_blaine,target_blaine,blaine_gap_pct,current_rpm,suggested_rpm,interpretation,recommendation,reason
2026-04-01 15:26:38,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-01 15:26:51,0,PPC,367.0,395,7.63,700.0,753.41,Blaine below target,Increase separator RPM by 7.63%,"PPC target Blaine is 395. Current Blaine is 367.00, so required correction is 7.63%."
2026-04-01 17:50:11,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 10:12:17,1,OPC,360.0,295,-18.06,700.0,573.61,Blaine above target,Reduce separator RPM by 18.06%,"OPC target Blaine is 295. Current Blaine is 360.00, so required correction is -18.06%."
2026-04-02 10:13:10,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 12:23:10,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 16:02:23,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 16:02:42,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 16:03:16,0,PPC,365.0,395,8.22,700.0,757.53,Blaine below target,Increase separator RPM by 8.22%,"PPC target Blaine is 395. Current Blaine is 365.00, so required correction is 8.22%."
2026-04-02 16:03:43,0,PPC,355.0,395,11.27,700.0,778.87,Blaine below target,Increase separator RPM by 11.27%,"PPC target Blaine is 395. Current Blaine is 355.00, so required correction is 11.27%."
2026-04-02 16:05:24,0,PPC,355.0,395,11.27,700.0,778.87,Blaine below target,Increase separator RPM by 11.27%,"PPC target Blaine is 395. Current Blaine is 355.00, so required correction is 11.27%."
2026-04-02 16:39:41,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 16:40:07,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 16:58:51,0,PPC,430.0,395,-8.14,750.0,688.95,Blaine above target,Reduce separator RPM by 8.14%,"PPC target Blaine is 395. Current Blaine is 430.00, so required correction is -8.14%."
2026-04-02 17:02:59,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 17:06:16,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 17:08:51,0,PPC,360.0,395,9.72,750.0,822.92,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 17:09:02,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 17:18:46,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 17:20:05,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-02 17:20:29,0,PPC,440.0,395,-10.23,750.0,673.3,Blaine above target,Reduce separator RPM by 10.23%,"PPC target Blaine is 395. Current Blaine is 440.00, so required correction is -10.23%."
2026-04-05 10:43:54,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:47:58,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:48:44,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:52:38,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:54:27,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:55:12,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:55:28,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
2026-04-05 10:55:42,0,PPC,360.0,395,9.72,700.0,768.06,Blaine below target,Increase separator RPM by 9.72%,"PPC target Blaine is 395. Current Blaine is 360.00, so required correction is 9.72%."
