cement_category,feed_bin,median,q25,q75,count
0,100-102,74.06593704,66.025644305,80.4700889575,374
0,102-104,76.764347075,68.81563377500001,83.27228546,390
0,104-106,75.2869339,65.17704773,82.31990051,657
0,106-108,73.833942415,68.083032605,80.158729555,516
0,108-110,74.065937045,66.1538505575,80.22588729750001,938
0,110-112,74.35897827,66.886447905,80.48840332,847
0,112-114,72.74725342,66.752140045,79.157512665,879
0,114-116,74.65201569,64.920635225,81.111110685,1395
0,116-118,75.11599731,66.86203003,80.158733365,999
0,118-120,75.14041901,65.49450684,80.19535828,1185
0,120-122,75.67765808,67.93650818,80.3418808,965
0,122-124,75.01831818,68.15628815,80.41513824,681
0,124-126,75.89743805,66.7582454675,81.39194489,688
0,126-128,76.43467712500001,70.1098938,82.014652255,456
0,128-130,76.65445709,68.13186646,82.31990433,419
0,130-132,78.11965942,72.442005155,87.88766860999999,327
0,132-134,77.92430115,72.10012435750001,89.87179756,270
0,134-136,70.59828949,62.22222519,80.63491821,217
0,136-138,74.9450531,71.501831055,78.046398165,115
0,138-140,73.16239166,68.54701233,78.3150177,61
1,100-102,68.37606811500001,62.3626403825,78.5286922475,194
1,102-104,67.10623169,62.88156509,76.227108,219
1,104-106,67.97313690499999,63.18071079,76.7460308075,358
1,106-108,70.67155075,63.7973156,77.13675689249999,310
1,108-110,71.81929016,64.43223572,80.14652252,483
1,110-112,73.11355591,66.37362671,79.80464172,457
1,112-114,70.52503204,65.56776428,75.9706955,333
1,114-116,71.23321533,63.174604415000005,83.797317505,399
1,116-118,72.881565095,68.6569004075,81.8620300275,342
1,118-120,69.42612839,63.22955036,83.6324806225,260
1,120-122,71.4529953,63.51648712,76.65445709,225
1,122-124,70.42735291,67.80830573749999,74.0842514025,146
1,124-126,67.78999329,61.53846359,71.13553619,93
1,126-128,68.40048981,60.73260498,71.72161102,65
1,128-130,64.73748779,61.73382568,68.93772888,25
1,130-132,65.22589111,62.637365345,68.754581455,27
1,132-134,62.295484544999994,61.764349935,65.67155075,12
1,134-136,68.05860901,63.540904995000005,71.4285736075,8
1,136-138,71.35531234999999,55.11599922,73.3821754475,16
1,138-140,68.70574188500001,66.88644981499999,70.34188461,8
